ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
429,104,Tortosa,BaixEbre,21.369837398373946,16770.0,17630.0,22435.61,32574.15,33370.42,26278.72,861.0,18387.71,141.96,0,0.0,195181276#4_0,-150637254#1_0,2
433,166,Tortosa,BaixEbre,25.81611644997171,17010.0,18778.0,22489.19,32405.61,48233.77,42220.78,1769.0,45662.95,177.56,0,0.0,156350540#3_0,383261848#0_0,2
437,123,Tortosa,BaixEbre,25.53054655870445,17250.0,18237.0,22479.25,32571.09,39238.36,32404.71,988.0,25219.89,128.12,0,0.0,-620733925_0,108789748#0_0,2
438,183,Tortosa,BaixEbre,23.598597510373487,17310.0,18514.0,22503.15,32381.41,20285.6,22041.32,1205.0,28428.69,204.31,0,0.0,211914618#0_0,146850118_0,2
446,74,Tortosa,BaixEbre,17.815272244355896,17790.0,18542.0,22491.98,32390.44,30011.83,24657.2,753.0,13411.42,116.62,0,0.0,-633345470_0,383261848#1_0,2
449,66,Tortosa,BaixEbre,14.445093750000005,17970.0,18289.0,22503.15,32381.41,20855.07,33400.48,320.0,4613.5,64.41,0,0.0,223180079#1_0,146850118_0,2
452,155,Tortosa,BaixEbre,23.95130808950088,14580.0,15741.0,22483.77,32645.84,21561.05,22725.31,1162.0,27824.15,184.61,0,0.0,677264341#3_0,119055086#0_0,2
459,134,Tortosa,BaixEbre,21.509473150962485,15084.0,16070.0,22472.18,32659.12,30908.54,24747.06,987.0,21215.05,145.81,0,0.0,381822599#5_0,-103962834#0_0,2
466,94,Tortosa,BaixEbre,23.039310810810786,15588.0,16327.0,22503.15,32381.41,31499.97,25789.0,740.0,17044.44,123.9,0,0.0,-381856311#1_0,146850118_0,2
467,73,Tortosa,BaixEbre,13.204006410256412,15660.0,15971.0,22483.77,32645.84,20316.25,32268.05,312.0,4108.27,69.1,0,0.0,-363594695#0_0,119055086#0_0,2
470,122,Tortosa,BaixEbre,27.21203190013871,15876.0,17317.0,22538.6,32630.85,47194.1,42241.46,1442.0,39251.1,150.26,0,0.0,-156402295#0_0,560977671_0,2
471,120,Tortosa,BaixEbre,26.29462087421947,15948.0,17068.0,22483.83,32344.02,39386.77,22371.6,1121.0,29476.58,142.76,0,0.0,-655707231#1_0,146852857_0,2
475,142,Tortosa,BaixEbre,16.68908000000001,16236.0,18735.0,22594.18,32354.02,40642.3,25079.59,2500.0,41717.33,293.39,0,0.0,-194817928#2_0,135977993#0_0,2
477,66,Tortosa,BaixEbre,13.234945054945044,16380.0,16652.0,22427.78,32385.23,20924.03,33679.23,273.0,3586.83,86.39,0,0.0,228745949#14_0,150637233#0_0,2
479,136,Tortosa,BaixEbre,25.44717821782176,16524.0,17735.0,22483.83,32344.02,39301.2,22000.75,1212.0,30832.89,170.14,0,0.0,-195032197#1_0,146852857_0,2
481,20,Tortosa,BaixEbre,12.235647058823528,16668.0,16752.0,22539.15,32637.23,22607.81,32145.63,85.0,1027.17,20.28,0,0.0,146852855#2_0,146905147_0,2
482,135,Tortosa,BaixEbre,17.808006349206327,16740.0,18314.0,22548.73,32333.89,36507.61,23151.78,1575.0,28039.82,205.4,0,0.0,-292077002_0,146852850#0_0,2
484,48,Tortosa,BaixEbre,12.295822222222213,16884.0,17108.0,22448.32,32595.24,22770.01,31078.68,225.0,2750.46,54.97,0,0.0,-429503912_0,150637254#2_0,2
490,126,Tortosa,BaixEbre,26.43834372217276,17316.0,18438.0,22502.58,32694.94,39451.73,22312.76,1123.0,29674.71,143.32,0,0.0,104849536#4_0,113204780#0_0,2
